goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,future,Kuwait,0,,KWT
AO,future,Latvia,1.7934285714287892, ,LVA
AO,future,Lebanon,-1.322857142857301,  ,LBN
AO,future,Liberia,-0.01714285714286772,  ,LBR
AO,future,Libya,1.812285714285749, ,LBY
AO,future,Line Islands (Kiribati),0.5545714285715159, ,KIR
AO,future,Lithuania,1.5131428571430419, ,LTU
AO,future,Macquarie Island,0,,NA
AO,future,Madagascar,0.06600000000001152, ,MDG
AO,future,Madeira,0.7580000000002202, ,NA
AO,future,Malaysia,1.1180000000001775, ,MYS
AO,future,Maldives,0.36114285714293787, ,MDV
AO,future,Malta,0.84028571428584, ,MLT
AO,future,Marshall Islands,2.857142856958502e-4, ,MHL
AO,future,Mauritania,0.111142857142859, ,MRT
AO,future,Mauritius,0.8574285714287251, ,MUS
AO,future,Mayotte,0.2622857142857399, ,MYT
AO,future,Mexico,0.27828571428570875, ,MEX
AO,future,Micronesia,-0.08571428571429898,  ,FSM
AO,future,Monaco,0,,MCO
AO,future,Montenegro,0.49542857142869995, ,MNE
AO,future,Montserrat,0.21514285714288822, ,MSR
AO,future,Morocco,0.09657142857145107, ,MAR
AO,future,Mozambique,-0.05942857142858885,  ,MOZ
AO,future,Myanmar,0.5768571428572541, ,MMR
AO,future,Namibia,0.14828571428572718, ,NAM
AO,future,Nauru,1.9851428571432146, ,NRU
AO,future,Netherlands,0,,NLD
AO,future,New Caledonia,0.35114285714289956, ,NCL
AO,future,New Zealand,0,,NZL
AO,future,Nicaragua,0.32657142857146687, ,NIC
AO,future,Nigeria,-0.032285714285728975,  ,NGA
AO,future,Niue,0.033142857142858057, ,NIU
AO,future,Norfolk Island,0,,NFK
AO,future,North Korea,0.9048571428572676, ,PRK
AO,future,Northern Mariana Islands and Guam,0.327428571428622, ,GUM
AO,future,Northern Saint-Martin,0.2720000000000471, ,NA
AO,future,Norway,0,,NOR
AO,future,Oecussi Ambeno,0.39485714285720286, ,NA
AO,future,Oman,-0.6851428571429079,  ,OMN
AO,future,Pakistan,0.2262857142857705, ,PAK
AO,future,Palau,0.7900000000001057, ,PLW
AO,future,Palmyra Atoll,0,,NA
AO,future,Panama,1.177428571428713, ,PAN
AO,future,Papua New Guinea,0.1540000000000145, ,PNG
AO,future,Peru,0.17971428571430892, ,PER
AO,future,Philippines,0.5368571428572337, ,PHL
AO,future,Phoenix Islands (Kiribati),0.5905714285715259, ,NA
AO,future,Pitcairn,0.47142857142868827, ,PCN
AO,future,Poland,0.5325714285715449, ,POL
AO,future,Portugal,0.5105714285716298, ,PRT
AO,future,Prince Edward Islands,0.5205714285714204, ,NA
AO,future,Puerto Rico and Virgin Islands of the United States,-0.16971428571433805,  ,PRI
AO,future,Qatar,0,,QAT
AO,future,R_union,0.26485714285716766, ,NA
AO,future,Republique du Congo,-0.043714285714298994,  ,COD
AO,future,Romania,1.3505714285717363, ,ROU
AO,future,Russia,-0.2645714285715847,  ,RUS
AO,future,Saba,0.3217142857143388, ,NA
AO,future,Saint Helena,0,,SHN
AO,future,Saint Kitts and Nevis,0.9914285714287936, ,KNA
AO,future,Saint Lucia,-0.09028571428571999,  ,LCA
AO,future,Saint Pierre and Miquelon,0,,SPM
AO,future,Saint Vincent and the Grenadines,0.3805714285715081, ,VCT
AO,future,Samoa,0.18371428571432447, ,WSM
AO,future,Sao Tome and Principe,0.11514285714287878, ,STP
AO,future,Saudi Arabia,0,,SAU
AO,future,Senegal,0.19028571428574692, ,SEN
AO,future,Seychelles,1.033428571428551, ,SYC
AO,future,Sierra Leone,-0.03657142857146243,  ,SLE
AO,future,Singapore,0,,SGP
AO,future,Sint Eustatius,0.3740000000000593, ,NA
AO,future,Sint Maarten,0,,SXM
AO,future,Slovenia,0.8942857142859673, ,SVN
AO,future,Solomon Islands,0.041714285714278446, ,SLB
AO,future,Somalia,0.27628571428573834, ,SOM
AO,future,South Africa,-0.10857142857146534,  ,ZAF
AO,future,South Georgia and the South Sandwich Islands,0.05114285714283755, ,SGS
AO,future,South Korea,0,,KOR
AO,future,Spain,0.7708571428573681, ,ESP
AO,future,Sri Lanka,0.5034285714286142, ,LKA
AO,future,Sudan,0.07371428571426283, ,SDN
AO,future,Suriname,-0.8697142857145432,  ,SUR
AO,future,Sweden,0,,SWE
AO,future,Syria,-0.4208571428572113,  ,SYR
AO,future,Taiwan,0.8414285714286994, ,TWN
AO,future,Tanzania,0.03142857142857972, ,TZA
AO,future,Thailand,0.3151428571428627, ,THA
AO,future,Togo,0.09800000000002031, ,TGO
AO,future,Tokelau,0.11571428571431018, ,TKL
AO,future,Tonga,0.03828571428572668, ,TON
AO,future,Trinidad and Tobago,-0.3145714285715763,  ,TTO
AO,future,Tristan da Cunha,0,,NA
AO,future,Tunisia,0.13457142857145116, ,TUN
AO,future,Turkey,0.8485714285715106, ,TUR
